id,tooltip,icon_class,icon_html,order
laravel-php-framework,Laravel Php Framework,fab fa-laravel,,1
javascript,JavaScript,fab fa-js,,2
reactjs-library,ReactJS Library,fab fa-react,,3
mysql-database,MySQL Database,fa-solid fa-database,,4
tailwind-css,Tailwind CSS,fa-solid fa-wind,,5
bootstrap,Bootstrap,fab fa-bootstrap,,6
html5,HTML5,fab fa-html5,,7
css3,CSS3,fab fa-css3-alt,,8
php,PHP,fab fa-php,,9
git,Git,fab fa-git-alt,,10
python,Python,fab fa-python,,11
django,Django,,"<svg viewBox=""0 0 24 24"" fill=""currentColor"" style=""width:24px;height:24px;vertical-align:middle;""> <path d=""M11.146 0h3.924v18.166c-2.013.382-3.491.535-5.096.535-4.791 0-7.288-2.166-7.288-6.32 0-4.002 2.65-6.6 6.753-6.6.637 0 1.121.05 1.707.203zm0 9.143a3.894 3.894 0 00-1.325-.204c-1.988 0-3.134 1.223-3.134 3.365 0 2.09 1.096 3.236 3.109 3.236.433 0 .79-.025 1.35-.102V9.142zM21.314 6.06v9.098c0 3.134-.229 4.638-.917 5.937-.637 1.249-1.478 2.039-3.211 2.905l-3.644-1.733c1.733-.815 2.574-1.53 3.109-2.625.561-1.121.739-2.421.739-5.835V6.059h3.924zM17.39.021h3.924v4.026H17.39z"" /> </svg>",12
next-js,Next.js,,"<svg viewBox=""0 0 24 24"" fill=""currentColor"" style=""width:24px;height:24px;vertical-align:middle;""> <path d=""M18.665 21.978C16.758 23.255 14.465 24 12 24 5.377 24 0 18.623 0 12S5.377 0 12 0s12 5.377 12 12c0 3.583-1.574 6.801-4.067 9.001L9.219 7.2H7.2v9.596h1.615V9.251l9.85 12.727Zm-3.332-8.533 1.6 2.061V7.2h-1.6v6.245Z"" /> </svg>",13
